alpha beta mean_E_X mean_E_Y mean_E_max_X mean_E_max_Y time E_std_row
1.0 0.0 0.0032218885552218798 -0.001170652133615102 0.05422222222222217 0.053333333333333344 229.11504996513904 2
1.0 0.25 0.00538049160271382 0.001343862380899413 0.05706666666666669 0.06162962962962959 260.1249252326093 2
1.0 0.5 0.00357068179290401 -0.00014681348014681888 0.05629629629629629 0.05362962962962964 295.9220588026756 2
1.0 0.75 0.0067133800467133724 6.31742853965034e-05 0.05437037037037035 0.053185185185185224 337.7868888235434 2
1.0 1.0 0.006627961294627959 0.0015058020983946857 0.05887830687830688 0.0617777777777778 386.68086391956655 2
1.0 1.25 0.005562006450895333 -0.0011000630259889574 0.058617283950617306 0.059008547008547026 443.9407125681741 2
1.0 1.5 0.005828940051162273 -0.0021642383123864645 0.0632934472934473 0.06541176470588236 511.6794654861349 2
1.0 1.75 0.004834167500834165 -0.007605531457383312 0.06170017636684304 0.0645054466230937 592.2623152981355 2
1.0 2.0 0.006747191636080523 -0.0014476698921143377 0.07561685823754788 0.07395735129068465 688.6075181378453 2
1.0 2.25 0.0038376153931709467 -0.004611129648166687 0.07766913580246912 0.08287830687830687 805.953760690675 2
1.0 2.5 0.0008331294257220201 -0.0002601119638156683 0.12641269841269842 0.14422222222222222 954.9860355133522 2
1.0 2.75 0.007367663960256555 -0.0016161346531716936 0.4724380032206119 0.4752463768115942 1178.8014972456012 2
1.0 3.0 0.014553516479442405 -0.007190894598302006 0.7458906525573192 0.7442666666666666 1518.4312283981765 2
1.0 3.25 0.015031031031031029 0.0022199977755533325 0.8543781676413256 0.8603572984749455 1925.215102515224 2
1.0 3.5 0.0011249768286805328 -0.010389352315278242 0.9018600823045269 0.9069629629629629 2435.867986498536 2
1.0 3.75 0.01166114262410559 -0.013012419827234646 0.9415185185185184 0.9477530864197532 3080.4985189859203 2
1.0 4.0 0.007114966818670522 0.0005632298965632248 0.9693544973544973 0.9600987654320988 3899.1863940640987 2
1.0 4.25 0.002228895562228899 -0.003029696363029697 0.9793251028806584 0.9780740740740741 4967.849280906955 2
1.0 4.5 -0.007441812182552925 -0.017596559522485452 0.9874897119341566 0.987111111111111 6449.337778425644 2
1.0 4.75 -0.0015431728024320644 0.005502094687279877 0.9913333333333334 0.9919576719576719 8398.82630070441 2
1.0 5.0 0.005416082749416073 -0.05390902013124235 0.9958518518518519 0.9962962962962962 11341.972296619635 2
1.0 5.25 -0.12472413153894638 0.011661735809883939 0.9985185185185185 0.9988148148148147 16122.010276797284 2
1.0 5.5 -0.5975109924739554 0.49789730471211946 nan nan 23277.607467569273 2
1.0 5.75 0.9973324435546658 0.973710006302599 10.0 10.0 31230.853331622933 2
1.0 6.0 0.9980329959589218 0.9812630408185963 10.0 10.000000000000002 41061.170572583185 2
1.0 6.25 0.9984381418455491 0.9859308197085975 10.0 10.0 53184.68121538063 2
1.0 6.5 0.9988171875579283 0.9894406999592186 10.0 10.0 68900.67745969296 2
1.0 6.75 0.9990384458532606 0.9921035109183257 10.0 10.0 89272.951374941 2
1.0 7.0 0.9992353835316797 0.9939696733770809 10.0 10.0 115332.02352865791 2
1.25 0.0 0.0027004782560338045 -0.0007405924442961538 nan 0.05007407407407416 250.47432408125786 2
1.25 0.25 0.003827531234938633 0.00029866903940977226 0.05422222222222217 0.06014814814814814 284.1283140554844 2
1.25 0.5 0.006458903347792233 -0.0015129203277351481 0.05676190476190479 0.05718518518518515 323.45742874709566 2
1.25 0.75 0.0031382493604715763 -0.0028084380676973316 0.05784362139917697 0.07022222222222219 369.23173173092283 2
1.25 1.0 0.004575538501464421 -0.002077040002965935 0.05896296296296296 0.05733333333333332 422.6464094308252 2
1.25 1.25 0.005462944425907386 -0.002096021947873805 0.060632996632996636 0.06226455026455028 485.27716597903026 2
1.25 1.5 0.003348830311793271 -0.002965632298965638 0.06438095238095237 0.06862678062678064 559.7659286405888 2
1.25 1.75 0.006177733288844392 -0.004633077521966416 0.0683076923076923 0.07453968253968253 647.5349355657081 2
1.25 2.0 0.00424157490824157 -0.0016837578319059828 0.08160846560846559 0.08146172839506173 753.6623571624389 2
1.25 2.25 0.007394357320283246 -0.0027805583361138948 0.08330261969286358 0.09953439153439154 884.2134499733609 2
1.25 2.5 0.0037266896526155753 -0.0038239721202684178 0.15835504469987224 0.16146104725415072 1047.643827380258 2
1.25 2.75 0.002147035924813704 -0.0011825158491825189 0.39992318244170094 0.39621652421652426 1283.2915360818681 2
1.25 3.0 0.010337745152559969 -0.0017163830497163844 0.754962962962963 0.725964573268921 1660.04376221348 2
1.25 3.25 0.007991695399102805 -0.005233381529677829 0.8463625730994152 0.8385777777777776 2094.823419386173 2
1.25 3.5 0.006790494197901606 0.008176769361954547 0.8947818930041151 0.9028148148148147 2648.7400894562097 2
1.25 3.75 0.006532458384310237 -0.011968412857301745 0.9458765432098767 0.9379094650205761 3354.486967566409 2
1.25 4.0 0.011948244540837134 0.004812812812812812 0.9633382716049382 0.9635783475783477 4240.918384241896 2
1.25 4.25 0.006574574574574578 -0.011298706113520933 0.9737283950617284 0.9805521885521885 5366.924827077933 2
